ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
9.1353331,51.5363617,5.141,-1.402,5.856,676.9,57.0,-61.6,3.92,0.0
9.1307497,51.5591125,4.97,-0.037,4.971,481.7,51.6,-353.31,3.96,1.0
9.1251669,51.5510292,4.762,-0.522,4.875,618.9,53.0,-122.81,4.05,0.0
9.1171246,51.5654182,4.462,0.342,4.514,379.4,46.6,-381.34,4.1,1.0
9.114542,51.5595284,4.366,-0.012,4.366,354.2,55.4,-369.09,4.31,1.0
9.105792,51.5292778,4.039,-1.827,5.447,412.5,58.2,-364.83,4.22,1.0
9.0891666,51.5535278,3.419,-0.372,3.499,480.9,49.6,-350.11,3.88,0.99
9.0723753,51.5407791,2.793,-1.137,3.601,421.8,50.6,-371.16,4.02,1.0
9.0528746,51.5472488,2.066,-0.748,2.551,606.3,53.7,-372.2,3.79,1.0
9.0447912,51.5755539,1.764,0.95,2.592,322.0,56.6,-370.97,4.54,1.0
9.0424995,51.5700569,1.679,0.62,2.087,756.9,63.2,-79.6,3.8,0.0
9.0334167,51.5550537,1.34,-0.28,1.452,387.0,46.7,-363.51,4.07,1.0
9.0274162,51.5542221,1.116,-0.33,1.297,250.1,44.1,-370.43,4.63,1.0
9.0225,51.5412216,0.933,-1.11,2.408,673.9,55.0,-358.55,3.81,1.0
9.0200415,51.5535011,0.841,-0.373,1.124,265.4,60.7,-374.74,5.42,1.0
9.0009584,51.5467491,0.129,-0.778,1.562,148.7,45.1,-357.04,5.78,1.0
8.998167,51.5219154,0.025,-2.268,4.537,175.7,41.9,-353.97,5.49,1.0
8.9894581,51.5408592,-0.3,-1.132,2.283,270.7,44.8,-366.96,4.67,1.0
8.9840832,51.5763893,-0.5,1.0,2.062,257.1,46.5,-369.24,5.31,1.0
8.9740419,51.5634727,-0.875,0.225,0.984,526.3,52.7,-364.85,3.87,1.0
8.9491253,51.5719185,-1.804,0.732,2.323,317.1,48.1,-381.67,4.26,1.0
8.942708,51.5580559,-2.044,-0.1,2.054,503.1,51.4,-115.96,4.0,0.0
8.9391251,51.5506935,-2.178,-0.542,2.432,433.7,49.5,-381.16,3.86,1.0
8.9364586,51.529583,-2.277,-1.808,4.274,303.2,47.0,-384.7,4.29,1.0
8.927,51.5331955,-2.63,-1.592,4.129,287.1,50.2,-81.1,4.86,0.0
