X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
189.326,-15.268,999.0,999.0,-1.21,0.21,1,0.9994514866642769
121.394,-24.888,-312.204,4.75,-1.28,0.21,1,0.9995569263607536
216.488,-83.543,999.0,999.0,-0.73,0.24,1,0.9992900511121314
247.736,-44.436,999.0,999.0,-1.66,0.2,1,0.99920119647927
259.922,23.461,999.0,999.0,-1.29,0.28,1,0.99838547158582
135.365,-57.211,999.0,999.0,-1.47,0.26,1,0.9995630532769544
126.778,-34.154,999.0,999.0,-1.45,0.24,1,0.9995703746096438
255.762,-19.21,-301.779,4.14,-1.36,0.25,1,0.9990500216432232
239.654,-41.996,999.0,999.0,-0.75,0.3,1,0.9992648730516656
198.072,-15.094,-292.545,4.65,-0.65,0.2,1,0.9994213449436634
56.086,66.526,999.0,999.0,-0.99,0.28,1,0.9978953795416962
-50.474,64.132,999.0,999.0,-0.9,0.24,1,0.9934310216290013
-25.003,-61.157,999.0,999.0,-0.71,0.26,1,0.9985875293305319
18.68,-4.979,-287.364,4.25,-1.16,0.25,1,0.9991180196225055
14.452,-120.97,999.0,999.0,-1.5,0.26,1,0.9982429907471496
204.526,27.424,999.0,999.0,-0.96,0.28,1,0.9990000229632015
188.729,-122.367,-295.769,3.79,-0.85,0.26,1,0.9989848840562899
114.187,60.172,-300.897,4.8,-0.7,0.2,1,0.9985383303553133
101.776,-105.247,999.0,999.0,-0.78,0.3,1,0.9992881713499625
201.705,-68.018,999.0,999.0,-0.84,0.21,1,0.9994283079708489
41.057,-38.187,999.0,999.0,-1.38,0.24,1,0.9993774490672865
-36.393,-214.364,999.0,999.0,-0.79,0.25,1,0.9428398022196014
162.611,-77.952,999.0,999.0,-1.07,0.24,1,0.9994875335019955
-243.554,-119.108,999.0,999.0,-1.43,0.28,1,0.582619533387519
-187.689,-70.163,999.0,999.0,-1.76,0.22,1,0.9462814713994673
315.219,103.69,999.0,999.0,-0.84,0.24,1,0.9709941161763321
-22.447,-173.46,999.0,999.0,-0.95,0.25,1,0.9892105679331625
216.452,-72.83,999.0,999.0,-1.19,0.22,1,0.9993470428099513
134.003,-113.058,999.0,999.0,-0.66,0.23,1,0.9992383433523094
165.731,64.892,999.0,999.0,-1.13,0.26,1,0.9982276518788311
180.341,52.742,999.0,999.0,-1.0,0.25,1,0.9985838742295258
-33.313,-37.65,999.0,999.0,-1.12,0.22,1,0.9984978311823172
122.029,-25.202,999.0,999.0,-1.37,0.24,1,0.9995577053786356
-36.84,-42.803,999.0,999.0,-1.07,0.25,1,0.9984088623930464
4.825,5.203,999.0,999.0,-0.96,0.22,1,0.9988746253149335
39.077,-86.392,999.0,999.0,-1.06,0.25,1,0.9991849252222914
-51.295,-69.964,999.0,999.0,-0.65,0.28,1,0.9977264664939619
202.001,-129.727,-296.613,4.11,-0.52,0.23,1,0.9987448180008784
167.582,-88.177,999.0,999.0,-0.86,0.24,1,0.999428511031385
264.394,-61.07,999.0,999.0,-0.84,0.26,1,0.9990061682828768
264.2,-38.963,999.0,999.0,-1.3,0.27,1,0.9990277462303815
201.8,-67.02,999.0,999.0,-1.64,0.21,1,0.9994310298410285
25.57,-70.852,999.0,999.0,-1.37,0.28,1,0.9991959498929067
86.259,-133.299,999.0,999.0,-0.91,0.24,1,0.9987384918863191
146.674,-151.876,999.0,999.0,-1.41,0.2,1,0.998276140059237
253.157,-106.924,999.0,999.0,-1.24,0.22,1,0.9986901111000035
